path,depth,files_count,dirs_count,size_bytes,summarized
.git,1,3369,275,26310930,true
.github\act-events,2,2,,1777,
.github\workflows,2,20,,116670,
.github,1,6,2,17288,
.husky\_,2,2,,718,
.husky,1,1,1,137,
bin,1,1,,395,
ci-reports,1,9,,3212352,
comprehensive-security-reports,1,2,,6643,
coverage\lcov-report\ai,3,2,,153441,
coverage\lcov-report\config,3,3,,27949,
coverage\lcov-report\core\observability,4,3,,140055,
coverage\lcov-report\core\performance,4,5,,343193,
coverage\lcov-report\core,3,3,2,34664,
coverage\lcov-report\dag,3,2,,81222,
coverage\lcov-report\dx,3,6,,335290,
coverage\lcov-report\ecosystem,3,3,,173149,
coverage\lcov-report\reranker,3,2,,11688,
coverage\lcov-report\scripts,3,2,,17678,
coverage\lcov-report\src\config,4,3,,30670,
coverage\lcov-report\src\core\observability,5,4,,213609,
coverage\lcov-report\src\core\performance,5,4,,158886,
coverage\lcov-report\src\core,4,3,2,33539,
coverage\lcov-report\src\dag,4,2,,30139,
coverage\lcov-report\src\reranker,4,2,,11752,
coverage\lcov-report\src\utils,4,2,,10928,
coverage\lcov-report\src,3,,5,,
coverage\lcov-report\utils,3,2,,11247,
coverage\lcov-report\__tests__\fixtures\src\mocks,6,3,,28340,
coverage\lcov-report\__tests__\fixtures\src,5,,1,,
coverage\lcov-report\__tests__\fixtures,4,,1,,
coverage\lcov-report\__tests__\utils,4,2,,82410,
coverage\lcov-report\__tests__,3,,2,,
coverage\lcov-report,2,20,11,912207,
coverage,1,3,1,399,
deployment\grafana\dashboards,3,1,,4249,
deployment\grafana,2,,1,,
deployment\helm\rag-pipeline,3,2,,7454,
deployment\helm,2,,1,,
deployment\kubernetes,2,5,,13748,
deployment\prometheus,2,1,,4251,
deployment,1,,4,,
docs,1,13,,92443,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p,5,11,,12288,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default,4,9,1,9514,
docs-site\.docusaurus\docusaurus-plugin-content-blog,3,,1,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\p,5,1,,3464,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default,4,11,1,7260,
docs-site\.docusaurus\docusaurus-plugin-content-docs,3,,1,,
docs-site\.docusaurus\docusaurus-plugin-content-pages\default,4,2,,378,
docs-site\.docusaurus\docusaurus-plugin-content-pages,3,,1,,
docs-site\.docusaurus\docusaurus-plugin-debug\default\p,5,1,,15944,
docs-site\.docusaurus\docusaurus-plugin-debug\default,4,1,1,58,
docs-site\.docusaurus\docusaurus-plugin-debug,3,,1,,
docs-site\.docusaurus,2,12,4,52877,
docs-site\blog,2,13,,5659,
docs-site\build,2,99,39,3945975,true
docs-site\docs,2,14,,155243,
docs-site\node_modules,2,31540,4368,156968246,true
docs-site\src\components\HomepageFeatures,4,2,,2954,
docs-site\src\components\HomepageHeader,4,2,,2977,
docs-site\src\components,3,,2,,
docs-site\src\css,3,1,,2669,
docs-site\src\pages,3,3,,1027,
docs-site\src,2,,3,,
docs-site\static\img\authors,4,1,,32916,
docs-site\static\img,3,4,1,2499298,
docs-site\static,2,1,1,,
docs-site,1,6,7,693063,
e2e-reports,1,1,,247,
examples,1,,,,
node_modules,1,50998,7975,531483465,true
pipelines,1,198,,239151,
profiling-reports,1,78,,86440,
public\dist,2,10,1,1666847,true
public\node_modules,2,19293,3628,123770456,true
public\results,2,1,,13769,
public\src\components,3,5,,47810,
public\src\contexts,3,1,,1962,
public\src\styles,3,,,,
public\src\utils,3,1,,10348,
public\src,2,2,4,30754,
public,1,10,4,247338,
scripts\audit,2,2,,18495,
scripts\docs,2,,,,
scripts\maintenance,2,13,,112854,
scripts\utils,2,3,,14097,
scripts,1,44,4,217635,
security-reports,1,1,,257,
src\ai,2,11,,185068,
src\cli\commands,3,4,,88245,
src\cli,2,4,1,111838,
src\config,2,5,,21453,
src\core\observability,3,4,,63581,
src\core\performance,3,3,,31686,
src\core\plugin-marketplace,3,4,,55255,
src\core,2,3,3,19886,
src\dag,2,1,,17248,
src\dx,2,5,,74047,
src\ecosystem,2,3,,58637,
src\enterprise,2,4,,70437,
src\evaluate,2,2,,4317,
src\loader,2,4,,5508,
src\mocks,2,4,,5800,
src\reranker,2,1,,1120,
src\utils\ci,3,1,,1744,
src\utils,2,4,1,16777,
src,1,2,13,3552,
__tests__\ai,2,1,,21257,
__tests__\ci,2,2,,35177,
__tests__\compatibility,2,1,,13952,
__tests__\dx,2,2,,30330,
__tests__\e2e,2,2,,54003,
__tests__\ecosystem,2,1,,19666,
__tests__\fixtures\e2e-data,3,3,,603931,
__tests__\fixtures\src\mocks,4,5,,7144,
__tests__\fixtures\src,3,,1,,
__tests__\fixtures,2,5,2,1550,
__tests__\integration\cli,3,1,,3658,
__tests__\integration\config,3,1,,1939,
__tests__\integration,2,3,2,46356,
__tests__\load,2,1,,16800,
__tests__\performance,2,5,,89309,
__tests__\property,2,1,,19448,
__tests__\scripts,2,1,,1978,
__tests__\security,2,3,,53071,
__tests__\unit\cli,3,4,,72970,
__tests__\unit\config,3,1,,4138,
__tests__\unit\core,3,1,,1824,
__tests__\unit\dag,3,2,,31577,
__tests__\unit\observability,3,3,,47061,
__tests__\unit\performance,3,3,,35761,
__tests__\unit\plugins,3,1,,9681,
__tests__\unit\reranker\__snapshots__,4,1,,174,
__tests__\unit\reranker,3,5,1,3324,
__tests__\unit\scripts,3,1,,14280,
__tests__\unit\streaming,3,1,,6213,
__tests__\unit,2,,10,,
__tests__\utils,2,2,,33791,
__tests__\__temp__,2,,,,
__tests__,1,,16,,
.,,64,20,7646349,