path,kind,size_bytes,ext,approx_LOC,exports_count,imports_count,hasTests,eslintErrors,notes
.actrc,file,673,none,30,,,,,
.codecov.yml,file,330,.yml,22,,,,,
.dockerignore,file,179,none,15,,,,,
.eslintignore,file,49,none,6,,,,,
.eslintrc.js,file,6978,.js,242,1,,,,
.eslintrc.json,file,433,.json,28,,,,,
.github\act-events\push.json,file,1121,.json,44,,,,,
.github\act-events\workflow_dispatch.json,file,656,.json,29,,,,,
.github\actions-lockfile.md,file,3920,.md,58,,,,,
.github\dependabot.yml,file,2174,.yml,82,,,,,
.github\PROJECT_ROADMAP.md,file,3848,.md,103,,,,,
.github\PULL_REQUEST_TEMPLATE.md,file,327,.md,9,,,,,
.github\release-template.md,file,462,.md,21,,,,,
.github\SECURITY_ACTIONS.md,file,6557,.md,131,,,,,
.github\workflows\auto-release-note.yml,file,2148,.yml,74,,,,,
.github\workflows\blog-release.yml,file,11489,.yml,276,,,,,
.github\workflows\ci.yml,file,9406,.yml,287,,,,,
.github\workflows\comprehensive-testing.yml,file,16196,.yml,509,,,true,,
.github\workflows\contract-validation.yml,file,19371,.yml,507,,,true,,
.github\workflows\deploy-production.yml,file,12864,.yml,403,,,,,
.github\workflows\docs-ci.yml,file,1070,.yml,47,,,,,
.github\workflows\docs-deploy.yml,file,1509,.yml,60,,,,,
.github\workflows\enforce-release-review.yml,file,1406,.yml,50,,,,,
.github\workflows\post-release-generate-blog.yml,file,2397,.yml,79,,,,,
.github\workflows\publish-release-blog.yml,file,1503,.yml,48,,,,,
.github\workflows\release-protection.yml,file,11616,.yml,326,,,true,,
.github\workflows\release-sync.yml,file,1327,.yml,51,,,,,
.github\workflows\roadmap-label-sync.yml,file,757,.yml,36,,,,,
.github\workflows\roadmap-labels.yml,file,2544,.yml,68,,,true,,
.github\workflows\roadmap-maintenance.yml,file,6049,.yml,159,,,true,,
.github\workflows\roadmap-sync.yml,file,1086,.yml,45,,,,,
.github\workflows\security-audit.yml,file,10497,.yml,276,,,true,,
.github\workflows\sync-roadmap.yml,file,1691,.yml,63,,,,,
.github\workflows\verify-blog-badge.yml,file,1744,.yml,51,,,,,
.gitignore,file,2305,none,142,,,,,
.husky\pre-commit,file,137,none,5,,,,,
.husky\_\.gitignore,file,1,none,1,,,,,
.husky\_\husky.sh,file,717,.sh,,,,,,
.npmrc,file,75,none,2,,,,,
.secrets,file,820,none,28,,,,,
analyze-test-failures.js,file,6280,.js,174,,3,true,,
apply-systematic-fixes.js,file,9505,.js,302,2,3,true,,
bin\cli.js,file,395,.js,15,,1,true,,
CHANGELOG.md,file,7299,.md,148,,,true,,
ci-reports\ci-hardening-results.json,file,249,.json,11,,,,,
ci-reports\eslint-fixes-2025-08-08T20-16-21-588Z.json,file,2410,.json,65,,,,,
ci-reports\eslint-fixes-2025-08-08T20-17-12-059Z.json,file,235,.json,12,,,,,
ci-reports\eslint-fixes-batch1-2025-08-08T20-27-30.json,file,766,.json,24,,,,,
ci-reports\eslint-fixes-batch2-2025-08-08T20-44-20-168Z.json,file,261,.json,13,,,,,
ci-reports\eslint-fixes-batch2-2025-08-08T20-44-51-954Z.json,file,261,.json,13,,,,,
ci-reports\eslint-fixes-log.md,file,3220,.md,99,,,,,
ci-reports\eslint-inventory-2025-08-08T20-14-24-537Z.json,file,1602475,.json,18356,,,true,,
ci-reports\eslint-inventory-2025-08-08T20-14-47-414Z.json,file,1602475,.json,18356,,,true,,
complete-final-qa.js,file,9841,.js,267,,3,true,,
comprehensive-security-reports\comprehensive-security-report.json,file,2965,.json,106,,,,,
comprehensive-security-reports\security-dashboard.html,file,3678,.html,80,,,,,
coverage\clover.xml,file,396,.xml,7,,,,,
coverage\coverage-final.json,file,3,.json,2,,,,,
coverage\lcov-report\adaptive-retrieval.js.html,file,115618,.html,2353,,,true,,
coverage\lcov-report\ai\index.html,file,4448,.html,116,,,,,
coverage\lcov-report\ai\index.js.html,file,148993,.html,3316,,,true,,
coverage\lcov-report\base.css,file,5394,.css,225,,,,,
coverage\lcov-report\block-navigation.js,file,2655,.js,88,,,true,,
coverage\lcov-report\config\index.html,file,4442,.html,116,,,,,
coverage\lcov-report\config\load-config.js.html,file,6993,.html,184,,,,,
coverage\lcov-report\config\validate-schema.js.html,file,16514,.html,433,,,,,
coverage\lcov-report\core\index.html,file,5160,.html,131,,,,,
coverage\lcov-report\core\observability\event-logger.js.html,file,62558,.html,1414,,,,,
coverage\lcov-report\core\observability\index.html,file,5196,.html,131,,,,,
coverage\lcov-report\core\observability\tracing.js.html,file,72301,.html,1759,,,true,,
coverage\lcov-report\core\performance\benchmark-strategy.js.html,file,124040,.html,2695,,,true,,
coverage\lcov-report\core\performance\index.html,file,6690,.html,161,,,,,
coverage\lcov-report\core\performance\memory-profiler.js.html,file,80431,.html,1669,,,true,,
coverage\lcov-report\core\performance\performance-integration.js.html,file,64238,.html,1423,,,true,,
coverage\lcov-report\core\performance\pipeline-optimizer.js.html,file,67794,.html,1441,,,true,,
coverage\lcov-report\core\plugin-contracts.js.html,file,13752,.html,352,,,,,
coverage\lcov-report\core\plugin-registry.js.html,file,15752,.html,379,,,,,
coverage\lcov-report\dag\dag-engine.js.html,file,76747,.html,1669,,,true,,
coverage\lcov-report\dag\index.html,file,4475,.html,116,,,,,
coverage\lcov-report\dag-engine.js.html,file,106735,.html,2236,,,true,,
coverage\lcov-report\dx\index.html,file,7328,.html,176,,,,,
coverage\lcov-report\dx\index.js.html,file,8539,.html,196,,,,,
coverage\lcov-report\dx\integration-templates.js.html,file,51288,.html,1195,,,,,
coverage\lcov-report\dx\performance-profiler.js.html,file,110951,.html,2572,,,true,,
coverage\lcov-report\dx\realtime-debugger.js.html,file,84204,.html,1864,,,true,,
coverage\lcov-report\dx\visual-pipeline-builder.js.html,file,72980,.html,1741,,,true,,
coverage\lcov-report\ecosystem\index.html,file,5230,.html,131,,,,,
coverage\lcov-report\ecosystem\plugin-certification.js.html,file,71084,.html,1660,,,true,,
coverage\lcov-report\ecosystem\plugin-hub.js.html,file,96835,.html,2263,,,true,,
coverage\lcov-report\favicon.png,file,445,.png,,,,,,
coverage\lcov-report\federated-learning.js.html,file,121949,.html,2608,,,true,,
coverage\lcov-report\index.html,file,3703,.html,101,,,,,
coverage\lcov-report\index.js.html,file,8482,.html,196,,,,,
coverage\lcov-report\integration-templates.js.html,file,53475,.html,1195,,,,,
coverage\lcov-report\llm-reranker.js.html,file,9361,.html,229,,,,,
coverage\lcov-report\model-training.js.html,file,24973,.html,526,,,true,,
coverage\lcov-report\multimodal-processing.js.html,file,97451,.html,2326,,,true,,
coverage\lcov-report\performance-profiler.js.html,file,121010,.html,2572,,,true,,
coverage\lcov-report\prettify.css,file,676,.css,2,,,,,
coverage\lcov-report\prettify.js,file,17590,.js,3,,,true,,
coverage\lcov-report\realtime-debugger.js.html,file,88300,.html,1864,,,true,,
coverage\lcov-report\reranker\index.html,file,4427,.html,116,,,,,
coverage\lcov-report\reranker\llm-reranker.js.html,file,7261,.html,187,,,,,
coverage\lcov-report\scripts\ensure-roadmap-labels.js.html,file,13213,.html,304,,,true,,
coverage\lcov-report\scripts\index.html,file,4465,.html,116,,,,,
coverage\lcov-report\sort-arrow-sprite.png,file,138,.png,,,,,,
coverage\lcov-report\sorter.js,file,6181,.js,197,,,,,
coverage\lcov-report\src\config\index.html,file,5157,.html,131,,,,,
coverage\lcov-report\src\config\load-config.js.html,file,9917,.html,235,,,,,
coverage\lcov-report\src\config\validate-schema.js.html,file,15596,.html,406,,,,,
coverage\lcov-report\src\core\index.html,file,5192,.html,131,,,,,
coverage\lcov-report\src\core\observability\event-logger.js.html,file,56879,.html,1381,,,,,
coverage\lcov-report\src\core\observability\index.html,file,5959,.html,146,,,,,
coverage\lcov-report\src\core\observability\metrics.js.html,file,79972,.html,1912,,,true,,
coverage\lcov-report\src\core\observability\tracing.js.html,file,70799,.html,1651,,,,,
coverage\lcov-report\src\core\performance\benchmark.js.html,file,69144,.html,1477,,,,,
coverage\lcov-report\src\core\performance\index.html,file,5937,.html,146,,,,,
coverage\lcov-report\src\core\performance\parallel-processor.js.html,file,35353,.html,733,,,,,
coverage\lcov-report\src\core\performance\streaming-safeguards.js.html,file,48452,.html,1063,,,true,,
coverage\lcov-report\src\core\plugin-contracts.js.html,file,12977,.html,328,,,,,
coverage\lcov-report\src\core\plugin-registry.js.html,file,15370,.html,367,,,,,
coverage\lcov-report\src\dag\dag-engine.js.html,file,25645,.html,592,,,true,,
coverage\lcov-report\src\dag\index.html,file,4494,.html,116,,,,,
coverage\lcov-report\src\reranker\index.html,file,4459,.html,116,,,,,
coverage\lcov-report\src\reranker\llm-reranker.js.html,file,7293,.html,187,,,,,
coverage\lcov-report\src\utils\index.html,file,4436,.html,116,,,,,
coverage\lcov-report\src\utils\logger.js.html,file,6492,.html,172,,,,,
coverage\lcov-report\streaming-safeguards.js.html,file,47738,.html,1162,,,true,,
coverage\lcov-report\utils\index.html,file,4404,.html,116,,,,,
coverage\lcov-report\utils\logger.js.html,file,6843,.html,184,,,,,
coverage\lcov-report\visual-pipeline-builder.js.html,file,80333,.html,1741,,,true,,
coverage\lcov-report\__tests__\fixtures\src\mocks\index.html,file,5226,.html,131,,,true,,
coverage\lcov-report\__tests__\fixtures\src\mocks\openai-llm.js.html,file,8206,.html,214,,,true,,
coverage\lcov-report\__tests__\fixtures\src\mocks\reranker.js.html,file,14908,.html,373,,,true,,
coverage\lcov-report\__tests__\utils\index.html,file,4464,.html,116,,,true,,
coverage\lcov-report\__tests__\utils\test-helpers.js.html,file,77946,.html,1600,,,true,,
coverage\lcov.info,file,,.info,,,,,,
current-eslint-errors.json,file,1977160,.json,2,,,,,
current-eslint-status.json,file,934515,.json,1,,,true,,
debug-ai-tests.js,file,2029,.js,74,,2,true,,
debug-cycle-path.js,file,2058,.js,60,,1,,,
debug-cycle.js,file,1585,.js,48,,1,,,
debug-dag.js,file,2877,.js,89,,1,,,
debug-failing-tests.js,file,3746,.js,121,,1,true,1,
debug-multiple-errors.js,file,1965,.js,55,,1,,,
debug-stats.js,file,990,.js,29,,1,,,
debug-timeout-detailed.js,file,1630,.js,54,,1,,,
debug-timeout.js,file,1145,.js,36,,1,,,
deployment\grafana\dashboards\rag-pipeline-dashboard.json,file,4249,.json,157,,,,,
deployment\helm\rag-pipeline\Chart.yaml,file,1149,.yaml,44,,,,,
deployment\helm\rag-pipeline\values.yaml,file,6305,.yaml,301,,,,,
deployment\kubernetes\configmap.yaml,file,3246,.yaml,115,,,,,
deployment\kubernetes\deployment.yaml,file,4769,.yaml,169,,,,,
deployment\kubernetes\ingress.yaml,file,3642,.yaml,128,,,,,
deployment\kubernetes\namespace.yaml,file,517,.yaml,16,,,,,
deployment\kubernetes\service.yaml,file,1574,.yaml,63,,,,,
deployment\prometheus\prometheus.yml,file,4251,.yml,138,,,,,
DEPLOYMENT_GUIDE.md,file,11003,.md,462,,,,,
diagnostic-fix-final.js,file,8287,.js,211,,3,true,,
diagnostic-results.json,file,18840,.json,28,,,,10,
docker-compose.yml,file,4846,.yml,190,,,,,
Dockerfile,file,3911,none,137,,,,,
docs\COMPREHENSIVE_ESLINT_FIX_REPORT.md,file,2962,.md,84,,,,,
docs\CONTRIBUTING.md,file,4051,.md,156,,,true,,
docs\CRITICAL_ESLINT_FIX_REPORT.md,file,659,.md,25,,,,,
docs\ESLINT_FIX_REPORT.md,file,1190,.md,43,,,,,
docs\GITHUB_ACTIONS_AUDIT_REPORT.md,file,9992,.md,401,,,,,
docs\GITHUB_ACTIONS_REMEDIATION.md,file,9085,.md,225,,,,,
docs\GITHUB_ISSUES_WORKFLOW_IMPROVEMENTS.md,file,7815,.md,273,,,,,
docs\lint-debt.md,file,604,.md,21,,,,,
docs\LINTING.md,file,7150,.md,234,,,true,,
docs\PLUGIN_DEVELOPER_GUIDE.md,file,14899,.md,624,,,true,,
docs\QA_FINAL_REPORT.md,file,12743,.md,290,,,,,
docs\TESTING_GUIDE.md,file,12345,.md,395,,,true,,
docs\WORKFLOW_MIGRATION_TIMELINE.md,file,8948,.md,277,,,,,
docs-site\.docusaurus\client-manifest.json,file,16343,.json,769,,,,,
docs-site\.docusaurus\client-modules.js,file,519,.js,7,1,4,,,
docs-site\.docusaurus\codeTranslations.json,file,2,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\blog-post-list-prop-default.json,file,1188,.json,41,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\blogMetadata-default.json,file,128,.json,5,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-246.json,file,154,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-archive-4f2.json,file,8782,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-authors-0fb.json,file,214,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-tags-blog-tags-architecture-a7e.json,file,357,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-tags-blog-tags-changelog-00e.json,file,348,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-tags-blog-tags-image-109.json,file,336,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-tags-blog-tags-modular-11e.json,file,342,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-tags-blog-tags-prompt-engineering-8c4.json,file,375,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-tags-blog-tags-release-fa2.json,file,342,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-tags-blog-tags-tutorials-909.json,file,348,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\p\rag-pipeline-utils-blog-tags-da6.json,file,690,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\site-blog-2025-04-18-architecture-overview-md-be1.json,file,1594,.json,52,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\site-blog-2025-04-18-release-v-2-1-1-md-73e.json,file,1332,.json,48,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\site-blog-2025-04-19-prompt-engineering-best-practices-md-0b6.json,file,1645,.json,52,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\site-blog-2025-04-20-image-showcase-md-06b.json,file,1488,.json,52,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\site-blog-2025-04-20-release-2-1-1-md-78e.json,file,750,.json,22,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\site-blog-2025-04-21-release-v-2-1-3-md-f2b.json,file,1324,.json,48,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-blog\default\__plugin.json,file,65,.json,4,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\p\rag-pipeline-utils-docs-6b4.json,file,3464,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-architecture-md-495.json,file,807,.json,24,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-cli-md-443.json,file,676,.json,24,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-evaluation-md-19e.json,file,720,.json,24,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-faq-md-ad8.json,file,550,.json,20,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-intro-mdx-f84.json,file,524,.json,18,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-introduction-md-e0a.json,file,760,.json,23,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-plugins-md-832.json,file,720,.json,24,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-tutorials-md-369.json,file,914,.json,28,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-usage-md-bf4.json,file,725,.json,24,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\site-docs-use-cases-md-323.json,file,799,.json,29,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-docs\default\__plugin.json,file,65,.json,4,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-pages\default\site-src-pages-markdown-page-md-393.json,file,312,.json,11,,,,,
docs-site\.docusaurus\docusaurus-plugin-content-pages\default\__plugin.json,file,66,.json,4,,,,,
docs-site\.docusaurus\docusaurus-plugin-debug\default\p\rag-pipeline-utils-docusaurus-debug-content-15f.json,file,15944,.json,1,,,,,
docs-site\.docusaurus\docusaurus-plugin-debug\default\__plugin.json,file,58,.json,4,,,,,
docs-site\.docusaurus\docusaurus.config.mjs,file,6804,.mjs,,,,,,
docs-site\.docusaurus\DONT-EDIT-THIS-FOLDER,file,260,none,6,,,,,
docs-site\.docusaurus\globalData.json,file,2214,.json,77,,,,,
docs-site\.docusaurus\i18n.json,file,267,.json,17,,,,,
docs-site\.docusaurus\registry.js,file,13052,.js,55,1,53,,,
docs-site\.docusaurus\routes.js,file,6272,.js,182,1,2,,,
docs-site\.docusaurus\routesChunkNames.json,file,6171,.json,289,,,,,
docs-site\.docusaurus\site-metadata.json,file,926,.json,36,,,,,
docs-site\.docusaurus\site-storage.json,file,47,.json,4,,,,,
docs-site\.gitignore,file,233,none,21,,,,,
docs-site\blog\2025-04-18-architecture-overview.md,file,440,.md,17,,,,,
docs-site\blog\2025-04-18-release-v2.1.1.md,file,305,.md,14,,,,,
docs-site\blog\2025-04-19-prompt-engineering-best-practices.md,file,418,.md,17,,,,,
docs-site\blog\2025-04-20-image-showcase.md,file,363,.md,15,,,,,
docs-site\blog\2025-04-20-release-2.1.1.md,file,415,.md,22,,,,,
docs-site\blog\2025-04-21-release-v2.1.3.md,file,305,.md,14,,,,,
docs-site\blog\2025-04-21-release-v2.1.4.md,file,305,.md,14,,,,,
docs-site\blog\2025-04-22-release-v2.1.5.md,file,305,.md,14,,,,,
docs-site\blog\2025-04-24-v2.1.6.md,file,629,.md,22,,,,,
docs-site\blog\2025-04-25-release-v2.1.7.md,file,305,.md,14,,,,,
docs-site\blog\2025-04-26-v2.1.8.md,file,647,.md,20,,,,,
docs-site\blog\authors.yml,file,148,.yml,6,,,,,
docs-site\blog\tags.yml,file,1074,.yml,61,,,,,
docs-site\docs\Architecture.md,file,14951,.md,491,,,true,,
docs-site\docs\CLI.md,file,16549,.md,614,,,,,
docs-site\docs\Evaluation.md,file,15848,.md,558,,,,,
docs-site\docs\FAQ.md,file,1192,.md,51,,,,,
docs-site\docs\intro.mdx,file,127,.mdx,,,,,,
docs-site\docs\Introduction.md,file,8386,.md,243,,,,,
docs-site\docs\Migration.md,file,12537,.md,556,,,true,,
docs-site\docs\Performance.md,file,17577,.md,692,,,true,,
docs-site\docs\Plugins.md,file,15811,.md,603,,,true,,
docs-site\docs\Security.md,file,22299,.md,878,,,true,,
docs-site\docs\Troubleshooting.md,file,11705,.md,515,,,,,
